R, G, B, W
104, 106, 255, 212
101, 111, 255, 109
101, 111, 255, 109
117, 126, 255, 233
108, 118, 255, 126
106, 108, 255, 199
104, 103, 255, 165
101, 107, 255, 43
101, 107, 255, 43
119, 124, 255, 207
114, 120, 255, 116
61, 142, 255, 95
75, 159, 255, 234
97, 176, 255, 179
95, 176, 255, 197
74, 162, 255, 8
46, 124, 255, 99
44, 131, 255, 161
43, 127, 255, 198
48, 134, 255, 209
55, 136, 255, 92
50, 130, 255, 56
48, 128, 255, 20
41, 132, 255, 144
49, 148, 255, 137
49, 145, 255, 142
50, 145, 255, 143
50, 144, 255, 138
51, 148, 255, 133
55, 147, 255, 131
53, 149, 255, 124
