======
(0, 0, 1, 1)
(2, 1, 5, 7)
(6, 5, 15, 22)
(8, 9, 21, 33)
(11, 11, 25, 41)
(7, 7, 17, 28)
(3, 3, 9, 14)
(0, 0, 2, 3)
======
(3, 1, 1, 4)
(7, 3, 3, 11)
(12, 6, 5, 20)
(18, 10, 8, 30)
(18, 11, 9, 31)
(15, 8, 6, 24)
(3, 1, 0, 4)
(1, 0, 0, 0)
======
(5, 0, 0, 3)
(18, 2, 0, 15)
(35, 5, 1, 31)
(52, 12, 6, 57)
(57, 14, 7, 62)
(49, 10, 3, 46)
(31, 5, 0, 25)
(5, 0, 0, 2)
======
(3, 1, 1, 5)
(8, 3, 3, 14)
(14, 7, 6, 22)
(18, 10, 8, 29)
(19, 10, 9, 32)
(10, 4, 3, 14)
(3, 1, 0, 4)
(1, 0, 0, 0)
======
(2, 3, 3, 7)
(6, 11, 9, 23)
(10, 20, 16, 39)
(14, 24, 20, 48)
(12, 22, 18, 45)
(8, 16, 13, 32)
(4, 8, 7, 18)
(0, 0, 0, 1)
======
(0, 0, 1, 1)
(1, 3, 8, 11)
(4, 9, 17, 26)
(8, 16, 27, 45)
(13, 22, 34, 59)
(11, 20, 32, 55)
(9, 16, 26, 45)
(9, 16, 27, 47)
(8, 16, 25, 44)
(9, 15, 25, 43)
(8, 15, 24, 42)
(8, 14, 23, 40)
(7, 14, 23, 40)
(7, 14, 23, 40)
(7, 14, 23, 40)
(6, 13, 22, 37)
(3, 8, 16, 25)
