======
(1, 0, 1, 2)
(3, 3, 8, 12)
(3, 3, 8, 12)
(13, 14, 31, 51)
(14, 14, 31, 51)
(7, 7, 17, 26)
(7, 7, 17, 26)
(0, 0, 1, 2)
======
(3, 1, 1, 4)
(6, 3, 2, 9)
(15, 8, 7, 25)
(21, 12, 10, 35)
(23, 14, 11, 40)
(12, 6, 4, 19)
(6, 3, 2, 9)
(1, 0, 0, 1)
======
(3, 0, 0, 2)
(15, 1, 0, 12)
(31, 4, 0, 27)
(51, 10, 4, 50)
(61, 15, 8, 65)
(54, 12, 5, 55)
(18, 2, 0, 15)
(4, 0, 0, 3)
======
(1, 0, 0, 1)
(4, 2, 1, 7)
(10, 5, 3, 15)
(15, 8, 6, 23)
(17, 9, 8, 28)
(12, 6, 5, 19)
(6, 3, 2, 9)
(1, 0, 0, 2)
======
(0, 1, 0, 2)
(2, 4, 3, 9)
(4, 8, 7, 17)
(7, 13, 10, 26)
(8, 14, 12, 30)
(4, 8, 7, 18)
(2, 4, 3, 9)
(0, 0, 0, 1)
======
(0, 0, 1, 1)
(1, 3, 5, 9)
(3, 7, 14, 24)
(7, 13, 23, 40)
(9, 16, 26, 45)
(6, 10, 18, 29)
(3, 6, 11, 17)
(2, 3, 7, 10)
(1, 2, 6, 9)
(1, 2, 6, 8)
(1, 2, 5, 8)
(1, 2, 6, 9)
(1, 2, 6, 8)
(1, 2, 5, 8)
Program ended by stop button
