R, G, B, W
1, 0, 1, 2
3, 3, 8, 12
3, 3, 8, 12
13, 14, 31, 51
14, 14, 31, 51
7, 7, 17, 26
7, 7, 17, 26
0, 0, 1, 2
0, 0, 1, 1
2, 1, 5, 7
6, 5, 15, 22
8, 9, 21, 33
11, 11, 25, 41
7, 7, 17, 28
3, 3, 9, 14
0, 0, 2, 3
0, 0, 1, 1
1, 3, 5, 9
3, 7, 14, 24
7, 13, 23, 40
9, 16, 26, 45
6, 10, 18, 29
3, 6, 11, 17
2, 3, 7, 10
1, 2, 6, 9
1, 2, 6, 8
1, 2, 5, 8
1, 2, 6, 9
1, 2, 6, 8
1, 2, 5, 8
0, 0, 1, 1
1, 3, 8, 11
4, 9, 17, 26
8, 16, 27, 45
13, 22, 34, 59
11, 20, 32, 55
9, 16, 26, 45
9, 16, 27, 47
8, 16, 25, 44
9, 15, 25, 43
8, 15, 24, 42
8, 14, 23, 40
7, 14, 23, 40
7, 14, 23, 40
7, 14, 23, 40
6, 13, 22, 37
3, 8, 16, 25
